"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=equidae"
"Access Time","Fri 2017-02-03 06:54:40 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","equidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.211"
"Records Found","5815"
"Records Returned","5815"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"170666","occ","","","15591","Hyracotherium sandrae","species","47322","recombined as","Sifrhippus sandrae","species","47322","Early Eocene","","55.8","48.6","1660"
"170686","occ","1854","","15596","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"170697","occ","1859","","15597","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"170700","occ","1860","","15598","Hyracotherium index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","6294"
"170711","occ","1864","","15607","Hyracotherium index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","6294"
"170719","occ","1868","","15611","Hyracotherium index","species","47316","recombined as","Minippus index","species","49440","Wasatchian","","55.8","50.3","6294"
"170793","occ","1874","","15649","Protorohippus venticolus","species","51085","recombined as","Protorohippus venticolum","species","47328","Wasatchian","","55.8","50.3","6294"
"170833","occ","1889","","15652","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","1552"
"170834","occ","30940","","15652","Eohippus angustidens","species","46149","","Eohippus angustidens","species","49415","Wasatchian","","55.8","50.3","53105"
"170844","occ","","","15655","Xenicohippus osborni","species","52717","","Xenicohippus osborni","species","52717","Wasatchian","","55.8","50.3","1118"
"170850","occ","1897","","15657","Equidae indet.","family","42984","","Equidae","family","42984","Wasatchian","","55.8","50.3","6294"
"170880","occ","30942","","15661","Minippus index","species","260855","","Minippus index","species","49440","Wasatchian","","55.8","50.3","53105"
